point ,valley,geomorph_zone,potential_disturbance,soil_age,stoniness_surface,stoniness_soil,veg_type,texture_class,sorting,sand_fraction,pH_field,soil_classification,SSD
M30 ,M,development,,122.7,15,5,,sand,layered,medium/coarse,4.8,humic leptosol,2.85
M47 ,M,development,bare rock,129.9,90,45,,sand,poor,coarse sand,6,skeletic leptosol,0
M1 ,M,development,debris flow,138.2,20,30,,sand,poor,coarse sand,4.5,humic leptosol,17.5
M46 ,M,development,bare rock,148.1,10,15,,sand,poor,coarse sand,5.5,humic leptosol,3.4
M28 ,M,none,,154,80,15,,sand,poor,coarse sand,5.3,humic leptosol,5.1
M29 ,M,development,,155.7,10,10,,sand,poor,medium/coarse,5,humic leptosol,4.5
M45 ,M,development,bare rock,158.7,15,50,,sand,poor,coarse sand,5,humiskeletic leptosol,3
M40 ,M,none,,161,10,15,,sand,poor,coarse sand,5,humic leptosol,1.7
M41 ,M,none,,161,5,0,,sand,well,medium sand,4.5,humic leptosol,12
M42 ,M,none,,161,60,20,,sand,poor,coarse sand,5,humic leptosol,0.8
M43 ,M,none,,161,30,35,,sand,poor,coarse sand,5,humic leptosol,1.3
M44 ,M,none,,161,15,15,,sand,poor,coarse sand,6,humic leptosol,0.85
T5,T,slope,,23.9,95,15,,sand,poor,coarse sand,7.2,humic leptosol,2.55
T4,T,fluvial,,53.4,90,60,,sand,poor,coarse sand,7.8,skeletic leptosol,0
T3 ,T,development,,54.1,5,0,,sandy loam,very well,very fine,7.5,haplic leptosol,1
T2 ,T,development,,54.6,40,25,,sand,poor,coarse sand,7.5,haplic leptosol,0.75
T1 ,T,development,,55.4,15,20,,sandy loam/sand,poor,coarse sand,7.5,haplic leptosol,2.4
T18,T,development,,70.6,70,25,,sand,poor,coarse sand,7,humic leptosol,2.25
T19,T,fluvial,,71.8,20,10,,sand,poor,coarse sand,5.5,humic fluvisol,0.9
T17,T,development,,71.9,90,5,,sand,poor,coarse sand,7,haplic leptosol,0
T16,T,development,,75.1,50,20,,sand,poor,coarse sand,7,humic leptosol,0.8
T15,T,development,,82.4,30,20,,sandy loam,poor,medium sand,6,humic leptosol,1.6
T33,T,development,,90.3,80,10,,sand,poor,coarse sand,7,humic leptosol,1.8
T14,T,development,,101,60,20,,sand,poor,coarse sand,5,humic leptosol,0.8
T35,T,development,,102.5,40,40,,sand,poor,coarse sand,7,humiskeletic leptosol,1.2
T34,T,development,,103.3,5,20,,sand,better,medium sand,7,humic leptosol,3.2
T31,T,development,,111.9,80,40,,sand,poor,coarse sand,6,humiskeletic leptosol,3
T36,T,development,,113.2,85,40,,sand,poor,coarse sand,7,humiskeletic leptosol,1.8
T32,T,development,,117.3,40,20,,sand,poor,coarse sand,6.5,humic leptosol,1.6
T29,T,fluvial,,119.5,5,25,,sandy loam,poor,medium sand,5,humic leptosol,2.25
T13,T,development,,122.8,40,50,,sand,poor,coarse sand,5,humiskeletic leptosol,1
T28,T,fluvial,,123.2,90,40,,sand,poor,coarse sand,7,skeletic leptosol,0
T12,T,development,,125.7,40,20,,sand,poor,coarse sand,5.5,humic leptosol,2.4
T9,T,development,,127.1,20,40,,sand,poor,coarse sand,6,humiskeletic leptosol,1.2
T10,T,development,,128.5,60,20,,sandy loam,poor,medium sand,5.5,humic leptosol,3.2
T30,T,development,,129.3,85,20,,sand,poor,coarse sand,6,humic leptosol,2.4
T27,T,development,,129.8,70,30,,sand,poor,coarse sand,7,haplic leptosol,0
T11,T,development,,130.3,80,20,,sandy loam,poor,medium sand,5.5,humic leptosol,2.4
T26,T,development,,133.4,15,5,,sand,poor,medium sand,5.8,humic leptosol,1.9
T8,T,fluvial,,133.8,90,50,,sand,poor,coarse sand,7,skeletic leptosol,0
T7,T,fluvial,,134.4,40,50,,sand,poor,coarse sand,7,skeletic leptosol,0
T6,T,fluvial,,136.7,80,15,,sand,layered,coarse sand,7,haplic fluvisol,0
T25,T,development,,137.3,20,15,,sand,poor,medium sand,5.8,humic leptosol,5.95
T23,T,development,,138.3,35,15,,sand,poor,coarse sand,5.8,humic leptosol,0.85
T24,T,development,,139.8,40,30,,sand,poor,medium sand,5.8,humic leptosol,4.2
T22,T,development,,141,35,10,,sand,poor,coarse sand,5.8,humic leptosol,4.5
T21 ,T,development,,157.2,30,30,,sand,poor,coarse sand,5,humic leptosol,1.4
T37,T,development,,158.1,80,30,,sand,poor,medium sand,7.2,humic leptosol,2.1
T39,T,development,,158.1,70,30,,sand,poor,coarse sand,7.2,humic leptosol,1.4
T38,T,,,158.1,70,30,,sand,poor,coarse sand,7.2,humic leptosol,1.4
T20,T,,,161,30,35,,sand,poor,medium sand,4.8,humic leptosol,4.55
